,uri,track,playlist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
781,spotify:track:5y2TuOFgwlpztHlqENHQOE,golden thing,12,romantic,0.375,0.28200000000000003,4,-11.761,1,0.0409,0.897,0.00168,0.0952,0.295,77.656
782,spotify:track:0j5QKkgh58UmjjONmDxYhE,Miss You 2,12,romantic,0.6960000000000001,0.578,9,-6.24,1,0.042100000000000005,0.5760000000000001,0,0.20400000000000001,0.5740000000000001,101.011
783,spotify:track:6VrLYoQKdhu1Jruei06t65,Somebody To You,12,romantic,0.526,0.8180000000000001,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.96
784,spotify:track:2GwberkV36NoC5snp51cLC,Can’t Imagine,12,romantic,0.41200000000000003,0.162,0,-14.356,1,0.146,0.849,2.16E-06,0.354,0.375,179.63
785,spotify:track:3npzogdOEiVsieXmmhBepL,The Bones,12,romantic,0.612,0.5700000000000001,11,-6.642,0,0.0347,0.279,0,0.09630000000000001,0.335,77.004
786,spotify:track:2HnfqILzgKt1CepTlU4oqq,Like No One Does,12,romantic,0.8,0.41000000000000003,10,-12.734,1,0.23600000000000002,0.352,1.45E-06,0.107,0.442,104.941
787,spotify:track:2jTidefcsTu6VQhpIImJrt,All I Want,12,romantic,0.209,0.41200000000000003,0,-9.733,1,0.0443,0.17200000000000001,0.15,0.0843,0.162,86.26
788,spotify:track:3SawmGBjjq8EOYZJV11cJm,Only Wanna Be With You - Pokémon 25 Version,12,romantic,0.47000000000000003,0.709,7,-4.563,1,0.029900000000000003,0.00124,0.0012100000000000001,0.302,0.247,98.036
789,spotify:track:5dPz35akJjPqb17yeqNwqH,Ghost,12,romantic,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49E-05,0.40900000000000003,0.47300000000000003,153.947
79,spotify:track:7CjKeiNOMxhNPzWRqS8okh,I Was Made To Love Her,3,upbeat,0.366,0.61,10,-6.645,1,0.0449,0.057800000000000004,0,0.0517,0.865,204.368
790,spotify:track:1a1SQeSqUKzH5OUVTEx4ae,Favourite Ex,12,romantic,0.396,0.177,5,-10.277,1,0.0378,0.718,0,0.139,0.221,177.215
791,spotify:track:48HT7Zzd3We4ZjG82lsbdK,Arms,12,romantic,0.41000000000000003,0.14100000000000001,2,-18.564,1,0.0337,0.931,0.0898,0.11800000000000001,0.23900000000000002,149.884
792,spotify:track:0IvNejD2G2H2pCKQ7l7Itd,Magic,12,romantic,0.652,0.586,1,-8.281,1,0.0402,0.46900000000000003,0,0.08460000000000001,0.554,144.031
793,spotify:track:46D0hYb1B7qiU33VtXt21W,Easy,12,romantic,0.5740000000000001,0.593,4,-5.731,0,0.0463,0.41100000000000003,1.55E-06,0.0966,0.355,128.073
794,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,34+35,12,romantic,0.8300000000000001,0.585,0,-6.476,1,0.094,0.23700000000000002,0,0.248,0.485,109.978
795,spotify:track:5inDa3sWj8zqJBOdj7Bjqc,"Hey Stupid, I Love You",12,romantic,0.758,0.594,5,-9.63,0,0.426,0.218,5.32E-06,0.07980000000000001,0.869,91.864
796,spotify:track:5IUOU5xkzGHsRFOYNu3GSK,No Judgement,12,romantic,0.723,0.726,1,-3.835,0,0.0472,0.056400000000000006,0.000126,0.057,0.962,100.051
797,spotify:track:4JWQC6gyYoPRnxRxk0ta2M,Peer Pressure (feat. Julia Michaels),12,romantic,0.631,0.715,1,-6.083,0,0.027700000000000002,0.029900000000000003,0,0.121,0.42,135.826
798,spotify:track:7Etf7VJoXNJlO4oMJRUDlT,If I Didn't Have You,12,romantic,0.628,0.6990000000000001,5,-7.772,1,0.0309,0.09140000000000001,1.5399999999999998e-05,0.07390000000000001,0.403,136.03
799,spotify:track:31qCy5ZaophVA81wtlwLc4,Anyone,12,romantic,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13E-06,0.113,0.584,115.884
8,spotify:track:5EA06TsQmqmQXZiEhr1AaM,Coming Home,3,upbeat,0.427,0.465,6,-6.595,1,0.0291,0.461,5.52E-05,0.154,0.458,112.137
80,spotify:track:0ZZbKNLGRNHs93FhNebPFH,Soul Connection,3,upbeat,0.654,0.627,2,-6.1370000000000005,1,0.0298,0.10400000000000001,3.18E-05,0.14300000000000002,0.8170000000000001,109.057
