,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
54,Miracle Mile,spotify:track:5quxrZTYgMATSD8ocr0den,confident,0.353,0.866,2,-3.163,1,0.0658,0.00685,0.795,0.325,0.293,142.858
55,Highway,spotify:track:421On515lAdhfA5B0h6yPR,confident,0.457,0.941,6,-5.174,1,0.0339,0.000136,3.12e-06,0.0896,0.704,154.038
56,Are You Gonna Go My Way,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,confident,0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269
57,Afraid of Heights,spotify:track:0qlgfcFAsrlNCD4tBGVAY9,confident,0.543,0.991,9,-2.78,0,0.0668,0.000168,1.31e-05,0.374,0.766,150.031
58,Rusty Cage,spotify:track:2s53BFN2aKtiBA93tRQtGj,confident,0.302,0.819,11,-11.364,0,0.0824,1.84e-05,0.000416,0.0568,0.309,102.048
59,Bored To Death,spotify:track:34hoCwSsssai61QCqzGYtX,confident,0.502,0.966,0,-3.876,1,0.0946,0.00575,1.56e-06,0.117,0.638,159.948
60,Celebrity Skin,spotify:track:2V4Bc2I962j7acQj1N0PiQ,confident,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163
61,Circles,spotify:track:60P2olAVgTm0UL2VXXHEhj,confident,0.504,0.976,11,-3.136,0,0.0975,0.000186,4.97e-05,0.141,0.368,80.996
62,Curse the Weather,spotify:track:4Avvd1ZV1CX4zLzeMVp8RO,confident,0.311,0.884,11,-4.313,1,0.0703,0.000133,0.0265,0.124,0.364,131.733
63,Bang Bang,spotify:track:0Z2wvNROelCrTqUM28RLYt,confident,0.503,0.984,9,-1.65,1,0.112,0.000359,2.18e-06,0.409,0.368,127.484
64,Beating Heart Baby,spotify:track:24efdUt3KGbZ6wnBLp6j2n,confident,0.458,0.971,8,-4.549,1,0.1,0.0027,0,0.179,0.49,149.944
65,When You Were Young,spotify:track:3h2pnVxdlwh4NWjRkSiMac,confident,0.442,0.973,8,-3.059,0,0.146,0.000328,0.0397,0.312,0.258,130.458
